year	paper-Name	author
	Dynamic Resource Allocation in Conservation Planning	Daniel Golovin, California Institute of Technology;Andreas Krause, ETH Zurich ;Beth Gardner, North Carolina State University ;Sarah J. Converse, Patuxent Wildlife Research Center ;Steve Morey, United States Fish and Wildlife Service
2010	A Novel Transition Based Encoding Scheme for Planning as Satisfiability	Ruoyun Huang, Washington University in St. Louis;Yixin Chen, Washington University in St. Louis ;Weixiong Zhang, Washington University in St. Louis
	How Incomplete Is Your Semantic Web Reasoner? Systematic Analysis of the Completeness of Query Answering Systems	Giorgos Stoilos, University of Oxford;Bernardo Cuenca Grau, University of Oxford ;Ian Horrocks, University of Oxford
2008	Optimal False-Name-Proof Voting Rules with Costly Voting	Liad Wagman & Vincent Conitzer, Duke University
	How Good is Almost Perfect?	Malte Helmert & Gabriele Röger, University of Freiburg
2007	PLOW: A Collaborative Task Learning Agent	James Allen, Florida Institute for Human and Machine Cognition;Nathanael Chambers, Stanford University ;George Ferguson, University of Rochester ;Lucian Galescu, Florida Institute for Human and Machine Cognition ;Hyuckchul Jung, Florida Institute for Human and Machine Cognition ;Mary Swift, University of Rochester ;William Taysom, Florida Institute for Human and Machine Cognition
	Thresholded Rewards: Acting Optimally in Timed, Zero-Sum Games	Colin McMillen & Manuela Veloso, Carnegie Mellon University
2006	Model Counting: A New Strategy for Obtaining Good Bounds	Carla P. Gomes, Cornell University;Ashish Sabharwal, Cornell University ;Bart Selman, Cornell University
	Towards an Axiom System for Default Logic	Gerhard Lakemeyer, RWTH Aachen University ;Hector J. Levesque, University of Toronto
2005	The Max K- Armed Bandit: A New Model of Exploration Applied to Search Heuristic Selection	Vincent A. Cicirello, Drexel University ;Stephen F. Smith, Carnegie Mellon University
2004	Learning and Inferring Transportation Routines	Lin Liao, University of Washington;Dieter Fox, University of Washington ;Henry Kautz, University of Washington
2002	On Computing All Abductive Explanations	Thomas Eiter, TU Wien ;Kazuhisa Makino, Osaka University
2000	The Game of Hex: An Automatic Theorem-Proving Approach to Game Programming	Vadim V. Anshelevich, Vanshel Consulting
	Automatic Invention of Integer Sequences	Simon Colton, University of Edinburgh;Alan Bundy, University of Edinburgh ;Toby Walsh, University of York
	Statistics-Based Summarization -- Step One: Sentence Compression	Kevin Knight & Daniel Marcu, University of Southern California
	Local Search Characteristics of Incomplete SAT Procedures	Dale Schuurmans & Finnegan Southey, University of Waterloo
1999	PROVERB: The Probabilistic Cruciverbalist	Greg A. Keim, Duke University;Noam M. Shazeer, Duke University ;Michael L. Littman, Duke University ;Sushant Agarwal, Duke University ;Catherine M. Cheves, Duke University ;Joseph Fitzgerald, Duke University ;Jason Grosland, Duke University ;Fan Jiang, Duke University ;Shannon Pollard, Duke University ;Karl Weinmeister, Duke University
1998	Learning Evaluation Functions for Global Optimization and Boolean Satisfiability	Justin A. Boyan & Andrew W. Moore, Carnegie Mellon University
	The Interactive Museum Tour-Guide Robot	Wolfram Burgard, University of Bonn;Armin B. Cremers, University of Bonn ;Dieter Fox, University of Bonn ;Dirk Hähnel, University of Bonn ;Gerhard Lakemeyer, RWTH Aachen University ;Dirk Schulz, University of Bonn ;Walter Steiner, University of Bonn ;Sebastian Thrun, Carnegie Mellon University
	Acceleration Methods for Numeric CSPs	Yahia Lebbah & Olivier Lhomme, École des Mines de Nantes
1997	Statistical Parsing with a Context-Free Grammar and Word Statistics	Eugene Charniak, Brown University
	Building Concept Representations from Reusable Components	Peter Clark, Boeing ;Bruce Porter, University of Texas at Austin
	Fast Context Switching in Real-Time Propositional Reasoning	P. Pandurang Nayak & Brian C. Williams, NASA
	A Practical Algorithm for Finding Optimal Triangulations	Krill Shoikhet & Dan Geiger, Technion – Israel Institute of Technology
1996	A Novel Application of Theory Refinement to Student Modeling	Paul T. Baffes, SciComp ;Raymond J. Mooney, University of Texas at Austin
	Pushing the Envelope: Planning, Propositional Logic, and Stochastic Search	Henry Kautz & Bart Selman, AT&T Laboratories
	Verification of Knowledge Bases Based on Containment Checking	Alon Y. Levy, AT&T Laboratories ;Marie-Christine Rousset, University of Paris-Sud
ACL (Natural Language Processing)		
2021	Vocabulary Learning via Optimal Transport for Neural Machine Translation	Jingjing Xu, ByteDance;Hao Zhou, ByteDance ;Chun Gan, ByteDance ;Zaixiang Zheng, ByteDance ;Lei Li, ByteDance
2020	Beyond Accuracy: Behavioral Testing of NLP models with Checklist	Marco Tulio Ribeiro, Microsoft;Tongshuang Wu, University of Washington ;Carlos Guestrin, University of Washington ;Sameer Singh, University of California, Irvine
2019	Bridging the Gap between Training and Inference for Neural Machine Translation	Wen Zhang, Chinese Academy of Sciences;Yang Feng, Chinese Academy of Sciences ;Fandong Meng, Tencent ;Di You, Worcester Polytechnic Institute ;Qun Liu, Huawei
2018	Finding syntax in human encephalography with beam search	John Hale, Cornell University;Chris Dyer, DeepMind ;Adhiguna Kuncoro, University of Oxford ;Jonathan R. Brennan, University of Michigan
	Learning to Ask Good Questions: Ranking Clarification Questions using Neural Expected Value of Perfect Information	Sudha Rao & Hal Daumé III, University of Maryland
	Let's do it "again": A First Computational Approach to Detecting Adverbial Presupposition Triggers	Andre Cianflone, McGill University;Yulan Feng, McGill University ;Jad Kabbara, McGill University ;Jackie Chi Kit Cheung, McGill University
2017	Probabilistic Typology: Deep Generative Models of Vowel Inventories	Ryan Cotterell & Jason Eisner, Johns Hopkins University
2016	Finding Non-Arbitrary Form-Meaning Systematicity Using String-Metric Learning for Kernel Regression	E. Darío Gutiérrez, University of California, Berkeley;Roger Levy, Massachusetts Institute of Technology ;Benjamin K. Bergen, University of California, San Diego
2015	Learning Dynamic Feature Selection for Fast Sequential Prediction	Emma Strubell, University of Massachusetts Amherst;Luke Vilnis, University of Massachusetts Amherst ;Kate Silverstein, University of Massachusetts Amherst ;Andrew McCallum, University of Massachusetts Amherst
	Improving Evaluation of Machine Translation Quality Estimation	Yvette Graham, Trinity College Dublin
2014	Fast and Robust Neural Network Joint Models for Statistical Machine Translation	Jacob Devlin, BBN Technologies;Rabih Zbib, BBN Technologies ;Zhongqiang Huang, BBN Technologies ;Thomas Lamar, BBN Technologies ;Richard Schwartz, BBN Technologies ;John Makhoul, BBN Technologies
2013	Grounded Language Learning from Video Described with Sentences	Haonan Yu & Jeffrey Mark Siskind, Purdue University
2012	Bayesian Symbol-Refined Tree Substitution Grammars for Syntactic Parsing	Hiroyuki Shindo, NTT Communication Science Laboratories;Yusuke Miyao, National Institute of Informatics ;Akinori Fujino, NTT Communication Science Laboratories ;Masaaki Nagata, NTT Communication Science Laboratories
2011	Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections	Dipanjan Das, Carnegie Mellon University ;Slav Petrov, Google
2010	Beyond NomBank: A Study of Implicit Arguments for Nominal Predicates	Matthew Gerber & Joyce Y. Chai, Michigan State University
2009	K-Best A* Parsing	Adam Pauls & Dan Klein, University of California, Berkeley
	Reinforcement Learning for Mapping Instructions to Actions	S.R.K. Branavan, Massachusetts Institute of Technology;Harr Chen, Massachusetts Institute of Technology ;Luke S. Zettlemoyer, Massachusetts Institute of Technology ;Regina Barzilay, Massachusetts Institute of Technology
	Concise Integer Linear Programming Formulations for Dependency Parsing	André F.T. Martins, Telecommunications Institute;Noah A. Smith, Carnegie Mellon University ;Eric P. Xing, Carnegie Mellon University
2008	A New String-to-Dependency Machine Translation Algorithm with a Target Dependency Language Model	Libin Shen, BBN Technologies;Jinxi Xu, BBN Technologies ;Ralph Weischedel, BBN Technologies
	Forest Reranking: Discriminative Parsing with Non-Local Features	Liang Huang, University of Pennsylvania
2007	Learning synchronous grammars for semantic parsing with lambda calculus	Yuk Wah Wong & Raymond J. Mooney, University of Texas at Austin
2006	Semantic taxonomy induction from heterogenous evidence	Rion Snow, Stanford University;Daniel Jurafsky, Stanford University ;Andrew Y. Ng, Stanford University
2005	A Hierarchical Phrase-Based Model for Statistical Machine Translation	David Chiang, University of Maryland
2004	Finding Predominant Word Senses in Untagged Text	Diana McCarthy, University of Sussex;Rob Koeling, University of Sussex ;Julie Weeds, University of Sussex ;John Carroll, University of Sussex
2003	Towards a Model of Face-to-Face Grounding	Yukiko I. Nakano, Research Institute of Science and Technology for Society;Gabe Reinstein, Massachusetts Institute of Technology ;Tom Stocky, Massachusetts Institute of Technology ;Justine Cassell, Massachusetts Institute of Technology
	Accurate Unlexicalized Parsing	Dan Klein & Christopher D. Manning, Stanford University
2002	Discriminative Training and Maximum Entropy Models for Statistical Machine Translation	Franz Josef Och & Hermann Ney, RWTH Aachen University
2001	Fast Decoding and Optimal Decoding for Machine Translation	Ulrich Germann, University of Southern California;Michael Jahr, Stanford University ;Kevin Knight, University of Southern California ;Daniel Marcu, University of Southern California ;Kenji Yamada, University of Southern California
	Immediate-Head Parsing for Language Models	Eugene Charniak, Brown University
CHI (Human-Computer Interaction)		
2021	What Do Hackathons Do? Understanding Participation in Hackathons Through Program Theory Analysis	Jeanette Falk, Aarhus University;Gopinaath Kannabiran, University of Copenhagen ;Nicolai Brodersen Hansen, Aalborg University
	Falx: Synthesis-Powered Visualization Authoring	Chenglong Wang, University of Washington;Yu Feng, University of California, Santa Barbara ;Rastislav Bodik, University of Washington ;Isil Dillig, University of Texas at Austin ;Alvin Cheung, University of California, Berkeley ;Amy J Ko, University of Washington
	"Can I Not Be Suicidal on a Sunday?": Understanding Technology-Mediated Pathways to Mental Health Support	Sachin R Pendse, Georgia Institute of Technology;Amit Sharma, Microsoft ;Aditya Vashistha, Cornell University ;Munmun De Choudhury, Georgia Institute of Technology ;Neha Kumar, Georgia Institute of Technology
	CapContact: Super-resolution Contact Areas from Capacitive Touchscreens	Paul Streli & Christian Holz, ETH Zurich
	RadarNet: Efficient Gesture Recognition Technique Utilizing a Miniaturized Radar Sensor	Eiji Hayashi, Google;Jaime Lien, Google ;Nicholas Gillian, Google ;Leonardo Giusti, Google ;Dave Weber, Google ;Jin Yamanaka, Google ;Lauren Bedal, Google ;Ivan Poupyrev, Google
	Screen Recognition: Creating Accessibility Metadata for Mobile Applications from Pixels	Xiaoyi Zhang, Apple;Lilian de Greef, Apple ;Amanda Swearngin, Apple ;Samuel White, Apple ;Kyle Murray, Apple ;Lisa Yu, Apple ;Qi Shan, Apple ;Jeffrey Nichols, Apple ;Jason Wu, Apple ;Chris Fleizach, Apple ;Aaron Everitt, Apple ;Jeffrey P Bigham, Apple
	LGBTQ Persons' Pregnancy Loss Disclosures to Known Ties on Social Media: Disclosure Decisions and Ideal Disclosure Environments	Cassidy Pyle, University of Michigan;Lee Roosevelt, University of Michigan ;Ashley Lacombe-Duncan, University of Michigan ;Nazanin Andalibi, University of Michigan
	Increasing Electrical Muscle Stimulation's Dexterity by means of Back of the Hand Actuation	Akifumi Takahashi, University of Chicago;Jas Brooks, University of Chicago ;Hiroyuki Kajimoto, The University of Electro-Communications ;Pedro Lopes, University of Chicago
	Designing Menstrual Technologies with Adolescents	Marie Louise Juul Søndergaard, Royal Institute of Technology;Marianela Ciolfi Felice, Royal Institute of Technology ;Madeline Balaam, Royal Institute of Technology
	The Show Must Go On: A conceptual model of conducting synchronous participatory design with children online	Kung Jin Lee, University of Washington;Wendy Roldan, University of Washington ;Tian Qi Zhu, University of Washington ;Harkiran Kaur Saluja, University of Washington ;Sungmin Na, University of Washington ;Britnie Chin, University of Washington ;Yilin Zeng, University of Washington ;Jin Ha Lee, University of Washington ;Jason Yip, University of Washington
	Building for 'We': Safety Settings for Couples with Memory Concerns	Nora McDonald & Helena M. Mentis, University of Maryland, Baltimore County
	Oh, Snap! A Fabrication Pipeline to Magnetically Connect Conventional and 3D-Printed Electronics	Martin Schmitz, TU Darmstadt;Jan Riemann, TU Darmstadt ;Florian Müller, TU Darmstadt ;Steffen Kreis, TU Darmstadt ;Max Mühlhäuser, TU Darmstadt
	Getting Ourselves Together: Epistemic Burden and Data-centered Participatory Design Research	Jennifer Pierre, University of California, Los Angeles;Roderic Crooks, University of California, Irvine ;Morgan Currie, University of Edinburgh ;Britt Paris, Rutgers University ;Irene Pasquetto, University of Michigan
	"Everyone wants to do the model work, not the data work": Data Cascades in High-Stakes AI	Nithya Sambasivan, Google;Shivani Kapania, Google ;Hannah Highfill, Google ;Diana Akrong, Google ;Praveen Paritosh, Google ;Lora M Aroyo, Google
	Resisting the Medicalisation of Menopause: Reclaiming the Body through Design	Marianela Ciolfi Felice, Royal Institute of Technology;Marie Louise Juul Søndergaard, Royal Institute of Technology ;Madeline Balaam, Royal Institute of Technology
	U!Scientist: Designing for People-Powered Research in Museums	Mmachi God'sglory Obiorah, Northwestern University;James K.L. Hammerman, Terc ;Becky Rother, Adler Planetarium ;Will Granger, Adler Planetarium ;Haley Margaret West, Northwestern University ;Michael Horn, Northwestern University ;Laura Trouille, Zooniverse & Adler Planetarium
	"Why lose control?" A Study of Freelancers' Perspectives with Gig Economy Platforms	Juan Carlos Alvarez de la Vega, Northumbria University;Marta E. Cecchinato, Northumbria University ;John Rooksby, Northumbria University
	"That courage to encourage": Participation and Aspirations in Chat-based Peer Support for Youth Living with HIV	Naveena Karusala, University of Washington;David Odhiambo Seeh, Kenyatta National Hospital ;Cyrus Mugo, Kenyatta National Hospital ;Brandon Guthrie, University of Washington ;Megan A Moreno, University of Wisconsin–Madison ;Grace John-Stewart, University of Washington ;Irene Inwani, Kenyatta National Hospital ;Richard Anderson, University of Washington ;Keshet Ronen, University of Washington
	The Ethics of Multiplayer Game Design and Community Management: Industry Perspectives and Challenges	Lucy A. Sparrow, University of Melbourne;Martin Gibbs, University of Melbourne ;Michael Arnold, University of Melbourne
	Coupling Simulation and Hardware for Interactive Circuit Debugging	Evan Strasnick, Stanford University;Maneesh Agrawala, Stanford University ;Sean Follmer, Stanford University
	Impact of Task on Attentional Tunneling in Handheld Augmented Reality	Brandon Victor Syiem, University of Melbourne;Ryan M. Kelly, University of Melbourne ;Jorge Goncalves, University of Melbourne ;Eduardo Velloso, University of Melbourne ;Tilman Dingler, University of Melbourne
	XRgonomics: Facilitating the Creation of Ergonomic 3D Interfaces	João Marcelo Evangelista Belo, Aarhus University;Anna Maria Feit, ETH Zurich ;Tiare Feuchtner, Aarhus University ;Kaj Grønbæk, Aarhus University
	Heuristic Evaluation of Conversational Agents	Raina Langevin, University of Washington;Ross J Lordon, Microsoft ;Thi Avrahami, Rulai ;Benjamin R. Cowan, University College Dublin ;Tad Hirsch, Northeastern University ;Gary Hsieh, University of Washington
	Clandestino or Rifugiato? Anti-immigration Facebook Ad Targeting in Italy	Arthur Capozzi, University of Washington;Gianmarco De Francisci Morales, Microsoft ;Yelena Mejova, Rulai ;Corrado Monti, University College Dublin ;André Panisson, Northeastern University ;Daniela Paolotti, University of Washington
	The Landscape and Gaps in Open Source Fairness Toolkits	Michelle Seng Ah Lee & Jatinder Singh, University of Cambridge
	Understanding Data Accessibility for People with Intellectual and Developmental Disabilities	Keke Wu, University of Colorado Boulder;Emma Petersen, University of Colorado Boulder ;Tahmina Ahmad, University of Colorado Boulder ;David Burlinson, University of Colorado Boulder ;Shea Tanis, University of Colorado Boulder ;Danielle Albers Szafir, University of Colorado Boulder
	How to Evaluate Object Selection and Manipulation in VR? Guidelines from 20 Years of Studies	Joanna Bergström, University of Copenhagen;Tor-Salve Dalsgaard, University of Copenhagen ;Jason Alexander, University of Bath ;Kasper Hornbæk, University of Copenhagen
	Designing Interactive Transfer Learning Tools for ML Non-Experts	Swati Mishra & Jeffrey M Rzeszotarski, Cornell University
2020	A Design Engineering Approach for Quantitatively Exploring Context-Aware Sentence Retrieval for Nonspeaking Individuals with Motor Disabilities	Per Ola Kristensson, University of Cambridge;James Lilley, University of Cambridge ;Rolf Black, University of Dundee ;Annalu Waller, University of Dundee
	Articulating Experience: Reflections from Experts Applying Micro-Phenomenology to Design Research in HCI	Mirjana Prpa, Simon Fraser University;Sarah Fdili-Alaoui, Laboratoire de recherche en informatique ;Thecla Schiphorst, Simon Fraser University ;Philippe Pasquier, Simon Fraser University
	Beyond the Prototype: Understanding the Challenge of Scaling Hardware Device Production	Rushil Khurana, Carnegie Mellon University ;Steve Hodges, Microsoft
	Bug or Feature? Covert Impairments to Human Computer Interaction	John V. Monaco, Naval Postgraduate School
	Co-Designing Checklists to Understand Organizational Challenges and Opportunities around Fairness in AI	Michael A. Madaio, Carnegie Mellon University;Luke Stark, Microsoft ;Jennifer Wortman Vaughan, Microsoft ;Hanna Wallach, Microsoft
	Color and Animation Preferences for a Light Band eHMI in Interactions Between Automated Vehicles and Pedestrians	Debargha Dey, Eindhoven University of Technology;Azra Habibovic, Research Institutes of Sweden ;Bastian Pflegling, Eindhoven University of Technology ;Marieke Martens, Eindhoven University of Technology ;Jacques Terken, Eindhoven University of Technology
	Connecting Distributed Families: Camera Work for Three-party Mobile Video Calls	Yumei Gan, The Chinese University of Hong Kong;Christian Greiffenhagen, The Chinese University of Hong Kong ;Stuart Reeves, University of Nottingham
	Creating Augmented and Virtual Reality Applications: Current Practices, Challenges, and Opportunities	Narges Ashtari, Simon Fraser University;Andrea Bunt, University of Manitoba ;Joanna McGrenere, University of British Columbia ;Michael Nebeling, University of Michigan ;Parmit K. Chilana, Simon Fraser University
	Critical Race Theory for HCI	Ihudiya Finda Ogbonnaya-Ogburu, University of Michigan;Angela D.R. Smith, Northwestern University ;Alexandra To, Carnegie Mellon University ;Kentaro Toyama, University of Michigan
	Design Study "Lite" Methodology: Expediting Design Studies and Enabling the Synergy of Visualization Pedagogy and Social Good	Uzma Haque Syeda, Northeastern University;Prasanth Murali, Northeastern University ;Lisa Roe, Northeastern University ;Becca Berkey, Northeastern University ;Michelle A. Borkin, Northeastern University
	Designing Ambient Narrative-Based Interfaces to Reflect and Motivate Physical Activity	Elizabeth L. Murnane, Stanford University;Xin Jiang, Stanford University ;Anna Kong, Stanford University ;Michelle Park, Stanford University ;Weili Shi, Stanford University ;Connor Soohoo, Stanford University ;Luke Vink, Stanford University ;Iris Xia, Stanford University ;Xin Yu, Stanford University ;John Yang-Sammataro, Stanford University ;Grace Young, Stanford University ;Jenny Zhi, Stanford University ;Paula Moya, Stanford University ;James A. Landay, Stanford University
	Designing and Evaluating Calmer, a Device for Simulating Maternal Skin-to-Skin Holding for Premature Infants	Sabrina Hauser, Umeå University;Melinda J. Suto, University of British Columbia ;Liisa Holsti, University of British Columbia ;Manon Ranger, University of British Columbia ;Karon E. MacLean, University of British Columbia
	Designing Clinical AAC Tablet Applications with Adults who have Mild Intellectual Disabilities	Ryan Colin Gibson, University of Strathclyde;Mark D. Dunlop, University of Strathclyde ;Matt-Mouley Bouamrane, University of Edinburgh ;Revathy Nayar, University of Strathclyde
	Designing Trans Technology: Defining Challenges and Envisioning Community-Centered Solutions	Oliver L. Haimson, University of Michigan;Dykee Gorrell, University of Illinois at Urbana–Champaign ;Denny L. Starks, University of Michigan ;Zu Weinger, University of Michigan
	Exploring How Game Genre in Student-Designed Games Influences Computational Thinking Development	Giovanni Maria Troiano, Northeastern University;Qinyu Chen, Northeastern University ;Ángela Vargas Alba, King Juan Carlos University ;Gregorio Robles, King Juan Carlos University ;Gillian Smith, Worcester Polytechnic Institute ;Michael Cassidy, Terc ;Eli Tucker-Raymond, Boston University ;Gillian Puttick, Terc ;Casper Harteveld, Northeastern University
	Isness: Using Multi-Person VR to Design Peak Mystical Type Experiences Comparable to Psychedelics	David R. Glowacki, University of Bristol;Mark D. Wonnacott, University of Bristol ;Rachel Freire, University of Bristol ;Becca R. Glowacki, Goldsmiths, University of London ;Ella M. Gale, University of Bristol ;James E. Pike, ArtSci International Foundation ;Tiu de Haan, ArtSci International Foundation ;Mike Chatziapostolou, ArtSci International Foundation ;Oussama Metatla, University of Bristol
	Me vs. Super(wo)man: Effects of Customization and Identification in a VR Exergame	Jordan Koulouris, University of Bath;Zoe Jeffery, University of Bath ;James Best, University of Bath ;Eamonn O'Neill, University of Bath ;Christof Lutteroth, University of Bath
	Mental Models of AI Agents in a Cooperative Game Setting	Katy Ilonka Gero, Columbia University;Zahra Ashktorab, IBM ;Casey Dugan, IBM ;Qian Pan, IBM ;James Johnson, IBM ;Werner Geyer, IBM ;Maria Ruiz, IBM ;Sarah Miller, IBM ;David R. Millen, IBM ;Murray Campbell, IBM ;Sadhana Kumaravel, IBM ;Wei Zhang, IBM
	MRAT: The Mixed Reality Analytics Toolkit	Michael Nebeling, University of Michigan;Maximilian Speicher, University of Michigan ;Xizi Wang, University of Michigan ;Shwetha Rajaram, University of Michigan ;Brian D. Hall, University of Michigan ;Zijian Xie, University of Michigan ;Alexander R. E. Raistrick, University of Michigan ;Michelle Aebersold, University of Michigan ;F. Edward G. Happ, University of Michigan ;Jiayin Wang, University of Michigan ;Yanan Sun, University of Michigan ;Lotus Zhang, University of Michigan ;Leah E. Ramsier, University of Michigan ;Rhea Kulkarni, University of Michigan
	On Being Iterated: The Affective Demands of Design Participation	Paul Dourish, University of California, Irvine;Christopher Lawrence, University of Technology Sydney ;Tuck Wah Leong, University of Technology Sydney ;Greg Wadley, University of Melbourne
	PenSight: Enhanced Interaction with a Pen-Top Camera	Fabrice Matulic, Preferred Networks Inc;Riku Arakawa, Preferred Networks Inc ;Brian Vogel, Preferred Networks Inc ;Daniel Vogel, University of Waterloo
	ReFind: Design, Lived Experience and Ongoingness in Bereavement	Jayne Wallace, Northumbria University;Kyle Montague, Newcastle University ;Trevor Duncan, Northumbria University ;Luís P. Carvalho, Newcastle University ;Nantia Koulidou, Northumbria University ;Jamie Mahoney, Northumbria University ;Kellie Morrissey, University of Limerick ;Claire Craig, Sheffield Hallam University ;Linnea Iris Groot, Newcastle University ;Shaun Lawson, Northumbria University ;Patrick Olivier, Monash University ;Julie Trueman, Northumbria University ;Helen Fishe, Sheffield Hallam University
	Robots for Inclusive Play: Co-designing an Educational Game With Visually Impaired and Sighted Children	Oussama Metatla, University of Bristol;Sandra Bardot, University of Toulouse ;Clare Cullen, University of Bristol ;Marcos Serrano, University of Toulouse ;Christophe Jouffrais, National Center for Scientific Research
	Techniques for Flexible Responsive Visualization Design	Jane Hoffswell, University of Washington;Wilmot Li, Adobe ;Zhicheng Liu, Adobe
	texSketch: Active Diagramming through Pen-and-Ink Annotations	Hariharan Subramonyam, University of Michigan;Colleen Seifert, University of Michigan ;Priti Shah, University of Michigan ;Eytan Adar, University of Michigan
	The Role of Everyday Sounds in Advanced Dementia Care	Maarten Houben, Eindhoven University of Technology;Rens Brankaert, Eindhoven University of Technology ;Saskia Bakker, Philips ;Gail Kenning, University of Technology Sydney ;Inge Bongers, Tilburg University ;Berry Eggen, Eindhoven University of Technology
	Touching and Being in Touch with the Menstruating Body	Nadia Campo Woytuk, Royal Institute of Technology;Marie Louise Juul Søndergaard, Royal Institute of Technology ;Marianela Ciolfi Felice, Royal Institute of Technology ;Madeline Balaam, Royal Institute of Technology
	Transparency of CHI Research Artifacts: Results of a Self-Reported Survey	Chat Wacharamanotham, University of Zurich;Lukas Eisenring, University of Zurich ;Steve Haroz, Paris-Saclay University ;Florian Echtler, Bauhaus University
	Trigeminal-based Temperature Illusions	Jas Brooks, University of Chicago;Steven Nagels, University of Chicago ;Pedro Lopes, University of Chicago
	Wireality: Enabling Complex Tangible Geometries in Virtual Reality with Worn Multi-String Haptics	Cathy Fang, Carnegie Mellon University;Yang Zhang, Carnegie Mellon University ;Matthew Dworman, Carnegie Mellon University ;Chris Harrison, Carnegie Mellon University
	Wrex: A Unified Programming-by-Example Interaction for Synthesizing Readable Code for Data Scientists	Ian Drosos, University of California, San Diego;Titus Barik, Microsoft ;Philip J. Guo, University of California, San Diego ;Robert DeLine, Microsoft ;Sumit Gulwani, Microsoft
2019	"Occupational Therapy is Making": Design Iteration and Digital Fabrication in Occupational Therapy	Megan Hofmann, Carnegie Mellon University;Kristin Williams, Carnegie Mellon University ;Toni Kaplan, Carnegie Mellon University ;Stephanie Valencia, Carnegie Mellon University ;Gabriella Han, Carnegie Mellon University ;Scott E Hudson, Carnegie Mellon University ;Jennifer Mankoff, University of Washington ;Patrick Carrington, Carnegie Mellon University
	"I feel it is my responsibility to stream": Streaming and Engaging with Intangible Cultural Heritage through Livestreaming	Zhicong Lu, University of Toronto;Michelle Annett, MishMashMakers ;Mingming Fan, University of Toronto ;Daniel Wigdor, University of Toronto
	Guerilla Warfare and the Use of New (and Some Old) Technology: Lessons from FARC's Armed Struggle in Colombia	Débora De Castro Leal, University of Siegen;Max Krüger, University of Siegen ;Kaoru Misaki, University of Siegen ;Dave William Randall, University of Siegen ;Volker Wulf, Institute of Information Systems
	Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly	William Odom, Simon Fraser University;Ron Wakkary, Eindhoven University of Technology ;Jeroen Hol, Eindhoven University of Technology ;Bram Naus, Eindhoven University of Technology ;Pepijn Verburg, Eindhoven University of Technology ;Tal Amram, Simon Fraser University ;Amy Chen, Simon Fraser University
